timestamp_us,ax,ay,az,gx,gy,gz,dbfs
1339767549,-8.171411,0.138864,-3.344700,-0.025714,-0.003464,0.025847,-50.09
1339777563,-8.267179,0.114922,-3.342306,-0.027179,-0.005995,0.021583,-51.61
1339787549,-8.197746,0.081403,-3.284845,-0.025980,-0.000666,0.024115,-50.42
1339797546,-8.128315,0.110133,-3.306392,-0.025047,-0.003331,0.028112,-50.88
1339807555,-8.169016,0.126893,-3.280056,-0.027046,-0.003331,0.025714,-50.73
1339817545,-8.149862,0.124498,-3.241749,-0.028645,-0.001599,0.026779,-50.38
1339827534,-8.231265,0.090980,-3.325546,-0.027179,-0.003864,0.023848,-51.11
1339837559,-8.221688,0.136469,-3.361459,-0.027979,-0.004530,0.025447,-50.13
1339847572,-8.207323,0.129287,-3.272874,-0.024781,-0.003730,0.024381,-52.84
1339857551,-8.214506,0.129287,-3.296816,-0.027579,-0.001865,0.025047,-50.41
1339867562,-8.303091,0.102951,-3.296816,-0.028778,-0.001066,0.023315,-51.62
1339877559,-8.188169,0.071826,-3.236961,-0.027979,-0.001998,0.027046,-51.11
1339887551,-8.161834,0.146046,-3.248932,-0.027579,-0.002398,0.025980,-50.94
1339897539,-8.159439,0.079009,-3.323152,-0.026913,-0.002798,0.023049,-50.58
1339907556,-8.178593,0.158017,-3.198653,-0.025847,-0.002798,0.023049,-50.36
1339917558,-8.197746,0.129287,-3.318364,-0.026913,-0.002531,0.023982,-50.70
1339927560,-8.207323,0.098162,-3.260903,-0.025047,-0.002665,0.023848,-50.62
1339937562,-8.228871,0.160412,-3.239355,-0.029444,-0.003064,0.024381,-51.92
1339947569,-8.214506,0.107739,-3.292027,-0.027046,-0.003464,0.023449,-51.57
1339957542,-8.180987,0.095768,-3.256114,-0.025047,-0.002531,0.026247,-50.94
1339967550,-8.154651,0.050278,-3.210624,-0.026247,-0.000666,0.021850,-51.07
1339977571,-8.207323,0.071826,-3.268085,-0.027712,0.000133,0.025314,-51.26
1339987556,-8.185776,0.165200,-3.332729,-0.027579,-0.003730,0.025047,-50.28
1339997556,-8.176199,0.189142,-3.181894,-0.024648,-0.002398,0.020118,-50.79
1340007574,-8.192958,0.129287,-3.359065,-0.024781,-0.004930,0.025047,-52.58
1340017568,-8.224083,0.093374,-3.270479,-0.026380,-0.002132,0.028112,-51.60
1340027549,-8.183381,0.093374,-3.313575,-0.028511,-0.001199,0.027845,-50.68
1340037571,-8.180987,0.112527,-3.282450,-0.023582,-0.003464,0.029444,-52.40
1340047544,-8.200141,0.093374,-3.268085,-0.027712,-0.001865,0.025847,-50.06
1340057560,-8.195353,0.083797,-3.325546,-0.026779,-0.005196,0.025181,-50.53
1340067543,-8.183381,0.143652,-3.244143,-0.030243,-0.003597,0.024248,-50.30
1340077558,-8.224083,0.112527,-3.208230,-0.027979,-0.000533,0.025314,-50.54
1340087556,-8.200141,0.088585,-3.284845,-0.029444,-0.003198,0.027579,-50.62
1340097555,-8.192958,0.067038,-3.272874,-0.027712,-0.001066,0.027446,-49.70
1340107569,-8.176199,0.122104,-3.306392,-0.029444,-0.001865,0.026247,-52.02
1340117574,-8.197746,0.081403,-3.332729,-0.028112,-0.003730,0.027179,-53.24
1340127544,-8.216900,0.129287,-3.275268,-0.029577,0.000266,0.022516,-49.94
1340137558,-8.209718,0.119710,-3.253720,-0.030377,-0.001998,0.024381,-50.80
1340147571,-8.216900,0.153229,-3.236961,-0.025580,-0.001865,0.026513,-54.26
1340157560,-8.190564,0.088585,-3.296816,-0.025314,-0.000799,0.024381,-51.07
1340167545,-8.219295,0.117316,-3.260903,-0.026113,-0.001732,0.022116,-50.90
1340177538,-8.209718,0.093374,-3.301604,-0.026113,-0.002798,0.024381,-49.88
1340187558,-8.180987,0.141258,-3.342306,-0.025847,-0.002665,0.024248,-50.43
1340197557,-8.202535,0.100556,-3.265691,-0.026247,-0.001732,0.027979,-50.21
1340207543,-8.231265,0.107739,-3.311181,-0.027712,-0.000933,0.026113,-50.04
1340217559,-8.149862,0.107739,-3.296816,-0.027179,-0.000933,0.024115,-50.08
1340227554,-8.152257,0.011971,-3.292027,-0.025847,-0.001466,0.025847,-50.79
1340237558,-8.207323,0.088585,-3.287239,-0.029577,-0.004930,0.025580,-50.72
1340247572,-8.192958,0.102951,-3.327940,-0.028112,-0.003997,0.022783,-53.14
1340257547,-8.161834,0.071826,-3.215413,-0.024648,-0.002931,0.024515,-49.42
1340267571,-8.233660,0.114922,-3.337517,-0.024914,-0.003198,0.025047,-53.79
1340277550,-8.219295,0.141258,-3.275268,-0.026380,-0.001466,0.023982,-51.03
1340287572,-8.219295,0.086191,-3.258508,-0.027446,-0.002398,0.025047,-53.51
1340297545,-8.212111,0.105345,-3.320758,-0.028378,-0.002132,0.027979,-50.47
1340307563,-8.219295,0.088585,-3.327940,-0.025314,-0.001066,0.024515,-51.13
1340317557,-8.219295,0.040701,-3.275268,-0.024781,-0.005729,0.022383,-51.03
1340327561,-8.216900,0.098162,-3.263297,-0.026247,0.000533,0.024248,-50.43
1340337544,-8.188169,0.093374,-3.330335,-0.026913,-0.004130,0.027312,-49.37
1340347573,-8.142680,0.067038,-3.229778,-0.026513,-0.001466,0.020251,-52.91
1340357577,-8.140285,0.138864,-3.344700,-0.029844,-0.005196,0.023982,-51.17
1340367590,-8.216900,0.098162,-3.270479,-0.026247,-0.000933,0.026913,-52.39
1340377542,-8.190564,0.112527,-3.361459,-0.027979,-0.004796,0.027046,-50.98
1340387562,-8.255207,0.138864,-3.270479,-0.028112,-0.005729,0.025580,-51.17
1340397574,-8.233660,0.122104,-3.260903,-0.025847,-0.002931,0.023182,-50.43
1340407571,-8.154651,0.138864,-3.351882,-0.029178,-0.002132,0.028511,-52.23
1340417556,-8.149862,0.146046,-3.320758,-0.025047,-0.002132,0.023182,-50.82
1340427540,-8.250419,0.107739,-3.313575,-0.026247,-0.003730,0.025314,-50.04
1340437573,-8.178593,0.069432,-3.294421,-0.025847,-0.001599,0.024648,-52.59
1340447557,-8.228871,0.088585,-3.193865,-0.026113,-0.003997,0.026913,-50.51
1340457539,-8.238448,0.100556,-3.294421,-0.027979,-0.001466,0.026646,-49.58
1340467571,-8.161834,0.100556,-3.303998,-0.028112,-0.001732,0.026380,-52.72
1340477553,-8.178593,0.184354,-3.277662,-0.028378,-0.003730,0.024248,-51.49
1340487562,-8.176199,0.057461,-3.263297,-0.027179,-0.005196,0.026913,-50.89
1340497550,-8.183381,0.138864,-3.227384,-0.026247,-0.002265,0.025580,-50.23
1340507570,-8.216900,0.098162,-3.292027,-0.027712,-0.001332,0.022116,-52.35
1340517567,-8.207323,0.124498,-3.315969,-0.025847,-0.001732,0.020917,-52.06
1340527568,-8.214506,0.124498,-3.294421,-0.028378,-0.000933,0.025714,-51.66
1340537551,-8.159439,0.081403,-3.375824,-0.030776,-0.002931,0.026646,-50.67
1340547558,-8.219295,0.138864,-3.337517,-0.025047,-0.002132,0.023982,-50.77
1340557561,-8.185776,0.165200,-3.265691,-0.025447,0.000533,0.025580,-51.21
1340567591,-8.207323,0.186748,-3.320758,-0.028378,-0.001332,0.023715,-51.79
1340577544,-8.192958,0.083797,-3.308787,-0.029444,-0.002265,0.026646,-50.32
1340587547,-8.166622,0.112527,-3.236961,-0.025980,-0.002398,0.026380,-50.16
1340597571,-8.130709,0.119710,-3.351882,-0.026779,-0.001199,0.022516,-52.41
1340607552,-8.197746,0.033519,-3.349488,-0.026113,-0.001599,0.024248,-50.49
1340617561,-8.202535,0.102951,-3.253720,-0.028778,0.000400,0.022783,-50.82
1340627541,-8.209718,0.090980,-3.258508,-0.028778,-0.002398,0.025714,-50.56
1340637565,-8.166622,0.150835,-3.409343,-0.026380,-0.002931,0.024515,-51.53
1340647555,-8.154651,0.122104,-3.320758,-0.025714,-0.001066,0.027446,-50.13
1340657552,-8.121132,0.043096,-3.174711,-0.025314,-0.002798,0.022116,-50.04
1340667546,-8.166622,0.141258,-3.442862,-0.026113,-0.003464,0.026913,-50.28
1340677557,-8.188169,0.083797,-3.311181,-0.027845,-0.002931,0.024781,-50.62
1340687542,-8.228871,0.122104,-3.275268,-0.024515,-0.002132,0.028245,-51.04
1340697571,-8.142680,0.083797,-3.306392,-0.027979,-0.002132,0.026513,-51.70
1340707545,-8.216900,0.119710,-3.299210,-0.028511,-0.003198,0.024248,-50.34
1340717574,-8.188169,0.090980,-3.280056,-0.027979,-0.002398,0.026113,-51.22
1340727590,-8.176199,0.088585,-3.354277,-0.026513,-0.002398,0.023715,-51.95
1340737571,-8.207323,0.090980,-3.222595,-0.029178,-0.002665,0.027446,-51.83
1340747543,-8.166622,0.105345,-3.275268,-0.028245,-0.002132,0.021983,-50.83
1340757572,-8.197746,0.131681,-3.236961,-0.025047,-0.001066,0.024781,-54.57
1340767552,-8.173804,0.088585,-3.260903,-0.022649,-0.002931,0.025980,-50.15
1340777570,-8.214506,0.102951,-3.327940,-0.025847,-0.002265,0.023715,-52.88
1340787564,-8.264784,0.093374,-3.253720,-0.029311,-0.000933,0.024781,-51.17
1340797565,-8.221688,0.110133,-3.277662,-0.027712,-0.001865,0.025314,-50.43
1340807553,-8.133103,0.090980,-3.320758,-0.027179,-0.003730,0.024648,-49.98
1340817573,-8.185776,0.079009,-3.270479,-0.029577,-0.004130,0.025314,-52.53
1340827536,-8.185776,0.119710,-3.275268,-0.027179,-0.001732,0.027046,-49.68
1340837568,-8.176199,0.095768,-3.392584,-0.027446,-0.002398,0.027046,-51.64
1340847557,-8.169016,0.052672,-3.380613,-0.026779,-0.005063,0.024115,-51.52
1340857552,-8.157045,0.100556,-3.289633,-0.028378,-0.005063,0.026913,-50.38
1340867546,-8.169016,0.119710,-3.236961,-0.025447,-0.000533,0.023582,-50.48
1340877557,-8.159439,0.150835,-3.325546,-0.027179,-0.003064,0.022516,-50.55
1340887544,-8.221688,0.146046,-3.311181,-0.030643,-0.006528,0.022783,-51.02
1340897568,-8.202535,0.143652,-3.385401,-0.026779,-0.000666,0.023315,-52.63
1340907574,-8.228871,0.107739,-3.282450,-0.025314,-0.003864,0.024914,-51.45
1340917560,-8.219295,0.079009,-3.303998,-0.029444,-0.003331,0.026779,-49.21
1340927573,-8.216900,0.129287,-3.318364,-0.026913,-0.003997,0.027579,-53.42
1340937552,-8.180987,0.181959,-3.201048,-0.023715,-0.002265,0.024248,-50.20
1340947561,-8.228871,0.160412,-3.296816,-0.028378,-0.002132,0.025714,-50.50
1340957573,-8.190564,0.117316,-3.294421,-0.025580,-0.001732,0.022783,-52.34
1340967567,-8.224083,0.047884,-3.270479,-0.024381,-0.002798,0.025580,-50.79
1340977569,-8.154651,0.093374,-3.303998,-0.027446,-0.002265,0.026913,-54.35
1340987573,-8.231265,0.105345,-3.272874,-0.028778,-0.001865,0.026513,-51.46
1340997538,-8.248025,0.184354,-3.361459,-0.027712,-0.001466,0.029178,-50.45
1341007568,-8.209718,0.112527,-3.241749,-0.025314,-0.000799,0.024914,-51.19
1341017586,-8.207323,0.136469,-3.251326,-0.028511,-0.000666,0.025047,-51.30
1341027554,-8.214506,0.086191,-3.256114,-0.027312,-0.004530,0.024781,-50.58
1341037568,-8.147469,0.095768,-3.299210,-0.026646,-0.003331,0.025047,-51.65
1341047572,-8.169016,0.098162,-3.330335,-0.024781,-0.000933,0.026513,-51.30
1341057586,-8.209718,0.136469,-3.277662,-0.027712,-0.003331,0.025980,-50.83
1341067559,-8.159439,0.107739,-3.344700,-0.023982,-0.002132,0.025314,-51.90
1341077574,-8.207323,0.155623,-3.320758,-0.024115,-0.002265,0.023182,-53.55
1341087569,-8.166622,0.100556,-3.282450,-0.026646,-0.002265,0.025447,-51.23
1341097587,-8.183381,0.124498,-3.306392,-0.027979,-0.001066,0.025580,-51.59
1341107538,-8.149862,0.095768,-3.275268,-0.025181,-0.000933,0.023982,-50.69
1341117569,-8.161834,0.076614,-3.292027,-0.030110,0.004796,0.027312,-51.84
1341127546,-8.147469,0.057461,-3.203442,-0.027446,0.007194,0.024914,-50.67
1341137572,-8.274361,0.098162,-3.342306,-0.027312,0.014123,0.025181,-52.09
1341147548,-8.341399,0.050278,-3.404555,-0.024381,0.010658,0.027845,-51.43
1341157570,-8.188169,0.158017,-3.378219,-0.026113,-0.013456,0.025047,-51.54
1341167563,-8.106767,0.165200,-3.294421,-0.027179,-0.016121,0.021583,-51.60
1341177557,-8.178593,0.117316,-3.205836,-0.028112,0.001998,0.027046,-51.13
1341187574,-8.185776,0.129287,-3.292027,-0.026113,0.001599,0.027312,-53.12
1341197564,-8.178593,0.095768,-3.294421,-0.025847,-0.002798,0.025847,-51.52
1341207540,-8.204929,0.098162,-3.344700,-0.025314,-0.003597,0.023449,-50.99
1341217569,-8.161834,0.107739,-3.239355,-0.028378,0.003331,0.024115,-51.12
1341227552,-8.192958,0.090980,-3.306392,-0.028911,0.001599,0.025714,-49.49
1341237568,-8.228871,0.131681,-3.294421,-0.029977,0.003198,0.027712,-54.64
1341247571,-8.183381,0.071826,-3.251326,-0.025047,0.002132,0.025714,-52.05
1341257546,-8.214506,0.143652,-3.323152,-0.024381,0.003064,0.023582,-50.84
1341267554,-8.171411,0.088585,-3.361459,-0.026113,-0.000266,0.026646,-51.05
1341277582,-8.197746,0.093374,-3.251326,-0.024648,-0.000933,0.026247,-51.33
1341287560,-8.180987,0.138864,-3.277662,-0.024781,-0.000666,0.026247,-50.57
1341297548,-8.248025,0.081403,-3.375824,-0.026779,0.004530,0.026380,-49.94
1341307542,-8.176199,0.093374,-3.292027,-0.028245,0.002798,0.025847,-50.01
1341317537,-8.236053,0.081403,-3.308787,-0.027312,0.003331,0.023848,-49.85
1341327569,-8.164227,0.081403,-3.239355,-0.026646,0.000133,0.024515,-51.46
1341337549,-8.130709,0.117316,-3.368642,-0.033041,-0.002265,0.024781,-50.79
1341347566,-8.264784,0.153229,-3.313575,-0.027712,-0.000666,0.025847,-50.74
1341357528,-8.149862,0.090980,-3.272874,-0.027979,0.000799,0.026247,-50.55
1341367555,-8.190564,0.177171,-3.215413,-0.024914,-0.000933,0.026513,-50.82
1341377544,-8.267179,0.114922,-3.339911,-0.029577,-0.003730,0.024248,-50.17
1341387571,-8.185776,0.165200,-3.335123,-0.025847,0.001998,0.025980,-51.23
1341397568,-8.214506,0.071826,-3.263297,-0.027446,-0.001865,0.023715,-50.36
1341407575,-8.226477,0.141258,-3.280056,-0.026380,-0.001998,0.024248,-51.36
1341417559,-8.224083,0.088585,-3.325546,-0.027979,-0.001998,0.027979,-50.33
1341427556,-8.219295,0.098162,-3.289633,-0.026513,-0.003198,0.023582,-50.57
1341437544,-8.226477,0.124498,-3.339911,-0.027579,0.000133,0.024515,-50.75
1341447559,-8.221688,0.184354,-3.294421,-0.027712,-0.002798,0.024115,-50.54
1341457570,-8.188169,0.117316,-3.320758,-0.027446,-0.003597,0.026513,-51.30
1341467573,-8.128315,0.122104,-3.359065,-0.024914,-0.003331,0.027046,-50.72
1341477562,-8.185776,0.134075,-3.303998,-0.027579,-0.001998,0.025580,-50.67
1341487554,-8.161834,0.086191,-3.337517,-0.026913,0.001332,0.025847,-50.79
1341497561,-8.192958,0.086191,-3.253720,-0.024515,-0.001066,0.026380,-51.54
1341507555,-8.188169,0.148441,-3.315969,-0.025314,-0.000133,0.022383,-50.62
1341517548,-8.197746,0.122104,-3.294421,-0.028911,-0.001066,0.028778,-50.46
1341527568,-8.236053,0.153229,-3.244143,-0.027046,-0.000133,0.024381,-50.51
1341537563,-8.154651,0.035913,-3.349488,-0.027579,-0.001199,0.026380,-50.65
1341547568,-8.219295,0.129287,-3.337517,-0.027046,-0.000799,0.023848,-50.22
1341557561,-8.190564,0.129287,-3.268085,-0.026913,-0.004796,0.025847,-51.90
1341567554,-8.195353,0.110133,-3.263297,-0.029444,-0.003464,0.024648,-50.34
1341577558,-8.200141,0.124498,-3.275268,-0.025980,-0.003064,0.023449,-50.84
1341587567,-8.228871,0.107739,-3.210624,-0.027979,-0.000533,0.024381,-51.62
1341597544,-8.236053,0.129287,-3.354277,-0.025181,-0.002798,0.024115,-50.07
1341607569,-8.171411,0.095768,-3.239355,-0.025714,-0.003198,0.025047,-54.48
1341617565,-8.159439,0.119710,-3.337517,-0.029044,-0.002265,0.025314,-50.17
1341627568,-8.180987,0.081403,-3.251326,-0.029444,-0.003331,0.022916,-51.72
1341637564,-8.262390,0.110133,-3.320758,-0.029178,-0.004530,0.024248,-51.46
1341647547,-8.204929,0.110133,-3.339911,-0.027579,-0.001066,0.027046,-48.93
1341657556,-8.171411,0.107739,-3.256114,-0.031309,-0.001732,0.025047,-50.15
1341667575,-8.176199,0.110133,-3.268085,-0.029711,-0.003997,0.023049,-52.68
1341677563,-8.185776,0.138864,-3.217807,-0.030910,-0.000799,0.022383,-51.09
1341687535,-8.166622,0.126893,-3.337517,-0.028645,0.000666,0.028245,-49.28
1341697574,-8.224083,0.095768,-3.294421,-0.025714,-0.002931,0.025580,-52.08
1341707556,-8.159439,0.110133,-3.172317,-0.028778,-0.003198,0.026646,-50.88
1341717567,-8.228871,0.079009,-3.296816,-0.028645,-0.001998,0.023982,-52.06
1341727573,-8.164227,0.143652,-3.306392,-0.024914,-0.000533,0.023715,-51.93
1341737542,-8.271967,0.071826,-3.311181,-0.024648,0.001599,0.026646,-50.24
1341747557,-8.240842,0.074220,-3.306392,-0.025447,-0.003464,0.026113,-50.58
1341757568,-8.169016,0.107739,-3.253720,-0.023449,-0.002132,0.023848,-51.61
1341767562,-8.176199,0.083797,-3.306392,-0.027046,-0.002798,0.024914,-51.91
1341777541,-8.130709,0.074220,-3.263297,-0.029844,-0.000266,0.028245,-50.01
1341787570,-8.111555,0.107739,-3.229778,-0.027446,-0.001466,0.029711,-55.45
1341797529,-8.204929,0.131681,-3.260903,-0.027046,-0.000400,0.026247,-49.85
1341807572,-8.176199,0.119710,-3.361459,-0.028511,-0.002398,0.027046,-53.01
1341817547,-8.195353,0.100556,-3.268085,-0.027845,-0.001732,0.024248,-50.72
1341827554,-8.236053,0.126893,-3.349488,-0.029711,-0.001998,0.025181,-50.92
1341837557,-8.176199,0.081403,-3.277662,-0.026779,-0.001599,0.024115,-51.41
1341847564,-8.202535,0.107739,-3.292027,-0.026646,-0.001466,0.024781,-50.61
1341857537,-8.125920,0.105345,-3.244143,-0.025314,0.001732,0.021051,-50.00
1341867572,-8.207323,0.153229,-3.268085,-0.030643,-0.002531,0.028645,-53.26
1341877534,-8.171411,0.129287,-3.251326,-0.027046,-0.003331,0.023315,-50.70
